Project,Date,Year,Se,Treatment,El,Plot,Hor,BIOC,RESPC,BION,NO3,NH4,NIT,MIN,DEA,H2O,pH
Calcium,1994-05-19,1994,SP,BearBrook,M,LT157,Oa/A,7336.18,140.73,385.13,5.92,6.94,6.39,6.12,6.13,0.72,-9999.99
Calcium,1994-05-19,1994,SP,BearBrook,M,LT141,Oi/Oe,531.17,292.09,330.32,16.95,16.34,4.84,6.58,956.82,0.72,-9999.99
Calcium,1994-05-19,1994,SP,BearBrook,M,LT148,Oi/Oe,8114.88,186.6,336.3,15.78,29.1,6.41,12.46,-9999.99,0.72,-9999.99
Calcium,1994-05-19,1994,SP,BearBrook,M,LT153,Oi/Oe,7633.98,290.44,336.89,12.68,46.93,4.37,12.49,-9999.99,0.73,-9999.99
Calcium,1994-05-19,1994,SP,BearBrook,M,LT157,Oi/Oe,9356.07,352.81,339.43,14.5,58.79,-1.45,1.81,136.63,0.77,-9999.99
Calcium,1994-05-19,1994,SP,BearBrook,U,LT121,Oa/A,5713.09,163.26,225.02,3.74,4.11,3.44,3.23,81.54,0.71,-9999.99
Calcium,1994-05-19,1994,SP,BearBrook,U,LT129,Oa/A,-9999.99,-9999.99,103.57,3.07,4.25,2.57,4.55,43.86,0.41,-9999.99
Calcium,1994-05-19,1994,SP,BearBrook,U,LT133,Oa/A,6806.25,207.24,243.36,10.35,15.86,9.32,18.04,58.82,0.69,-9999.99
Calcium,1994-05-19,1994,SP,BearBrook,U,LT139,Oa/A,3706.48,28.22,290.56,6.14,7.22,3.45,6.21,51.27,0.54,-9999.99
Calcium,1994-05-19,1994,SP,BearBrook,U,LT121,Oi/Oe,10563.69,278.27,335.45,5.44,20.87,3.16,7.65,240.82,0.81,-9999.99
Calcium,1994-05-19,1994,SP,BearBrook,U,LT129,Oi/Oe,6942.06,187.73,319.88,10.02,31.32,1.91,5.44,49.84,0.66,-9999.99
Calcium,1994-05-19,1994,SP,BearBrook,U,LT133,Oi/Oe,12807.94,488.54,683.2,4.59,67.71,-0.46,12.37,67.51,0.79,-9999.99
Calcium,1994-05-19,1994,SP,BearBrook,U,LT139,Oi/Oe,9470.75,354.44,414.34,5.65,48.14,-0.42,10.31,-9999.99,0.78,-9999.99
Calcium,1994-07-19,1994,SU,BearBrook,H,LT101,Oa/A,1202.49,32.36,70.6,5.41,2.05,1.34,3.02,332.07,0.29,-9999.99
Calcium,1994-07-19,1994,SU,BearBrook,H,LT109,Oa/A,6587.85,119.7,399.03,19.18,5.75,10.05,11.53,2359.02,0.65,-9999.99
Calcium,1994-07-19,1994,SU,BearBrook,H,LT113,Oa/A,2718.79,52.55,144.38,9.59,2.84,3.57,4.21,1152.94,0.45,-9999.99
Calcium,1994-07-19,1994,SU,BearBrook,H,LT117,Oa/A,1516.68,31.54,76.04,6.59,2.06,2.38,2.82,349.7,0.33,-9999.99
Calcium,1994-07-19,1994,SU,BearBrook,H,LT101,Oi/Oe,13549.82,463.48,669.38,18.83,26.35,0.2,46.33,7940.35,0.69,-9999.99
Calcium,1994-07-19,1994,SU,BearBrook,H,LT109,Oi/Oe,12832.11,358.44,655.55,31.03,29.99,11.63,37.48,5624.66,0.71,-9999.99
Calcium,1994-07-19,1994,SU,BearBrook,H,LT113,Oi/Oe,15057.83,528.57,367.5,41.22,70.27,3.87,48.37,3397.2,0.71,-9999.99
Calcium,1994-07-19,1994,SU,BearBrook,H,LT117,Oi/Oe,10751.71,171.52,539.17,31.12,34.67,14.74,28.35,2146.1,0.73,-9999.99
Calcium,1994-07-19,1994,SU,BearBrook,L,LT162,Oa/A,3386.21,51.59,271.04,0.24,6.76,0.03,2.53,465.87,0.46,-9999.99
Calcium,1994-07-19,1994,SU,BearBrook,L,LT169,Oa/A,1493.39,22.15,100.01,4.77,3.83,1.97,2.19,476.54,0.35,-9999.99
Calcium,1994-07-19,1994,SU,BearBrook,L,LT173,Oa/A,2643.64,46.45,130.36,1.1,5.79,0.68,1.49,231.31,0.47,-9999.99
Calcium,1994-07-19,1994,SU,BearBrook,L,LT177,Oa/A,1459.25,20.39,91.69,4.02,4.68,1.15,1.51,148.92,0.35,-9999.99
Calcium,1994-07-19,1994,SU,BearBrook,L,LT162,Oi/Oe,10309.74,372.68,786.32,0.76,29.53,0.23,14,1401,0.64,-9999.99
Calcium,1994-07-19,1994,SU,BearBrook,L,LT169,Oi/Oe,13472.49,425.26,1090.11,60.69,73.67,34.9,43.28,5864.19,0.76,-9999.99
Calcium,1994-07-19,1994,SU,BearBrook,L,LT173,Oi/Oe,14004.13,381.63,570.92,3.86,36.42,2.01,16.59,1179.28,0.77,-9999.99
Calcium,1994-07-19,1994,SU,BearBrook,L,LT177,Oi/Oe,8864.1,203.49,635.98,15.31,85,6.22,16.68,1320.4,0.56,-9999.99
Calcium,1994-07-19,1994,SU,BearBrook,M,LT141,Oa/A,1997.66,11.75,116.45,9.09,2.42,2.86,3.31,200.7,0.37,-9999.99
Calcium,1994-07-19,1994,SU,BearBrook,M,LT148,Oa/A,3629.37,76.38,318.68,6.53,3.85,5.56,6.34,399.84,0.47,-9999.99
Calcium,1994-07-19,1994,SU,BearBrook,M,LT153,Oa/A,2847.32,57.29,264.73,9.58,3.79,3.98,4.63,1228.82,0.45,-9999.99
Calcium,1994-07-19,1994,SU,BearBrook,M,LT158,Oa/A,910.27,32.07,59.31,8.06,3.39,2.77,3.33,631.2,0.41,-9999.99
Calcium,1994-07-19,1994,SU,BearBrook,M,LT141,Oi/Oe,8517.13,275.53,643.38,41.04,41.46,16.62,30.21,2805.77,0.57,-9999.99
Calcium,1994-07-19,1994,SU,BearBrook,M,LT148,Oi/Oe,12067.41,293.72,719.83,27.92,29.94,16.24,33.39,1844.98,0.64,-9999.99
Calcium,1994-07-19,1994,SU,BearBrook,M,LT153,Oi/Oe,11232.74,420.63,723.09,26.48,41.61,8.12,26.15,1876.48,0.62,-9999.99
Calcium,1994-07-19,1994,SU,BearBrook,M,LT158,Oi/Oe,11089.08,235.9,743.81,40.49,19.5,14.03,26.03,2680.45,0.64,-9999.99
Calcium,1994-07-19,1994,SU,BearBrook,U,LT121,Oa/A,3584.49,66.47,178.02,7.64,4.17,4.08,4.94,645.75,0.5,-9999.99
Calcium,1994-07-19,1994,SU,BearBrook,U,LT129,Oa/A,7033.82,166.71,450.38,21.35,6.06,9.97,11.51,1247.32,0.66,-9999.99
Calcium,1994-07-19,1994,SU,BearBrook,U,LT133,Oa/A,6892.47,149.04,446.01,14.81,10.03,5.78,11.88,1380.75,0.61,-9999.99
Calcium,1994-07-19,1994,SU,BearBrook,U,LT139,Oa/A,7617.32,162.45,444.84,21.6,14.97,4.96,10.67,1265.52,0.67,-9999.99
Calcium,1994-07-19,1994,SU,BearBrook,U,LT121,Oi/Oe,14289.81,410.47,749.26,14.68,47.43,10.69,34.98,1487.49,0.76,-9999.99
Calcium,1994-07-19,1994,SU,BearBrook,U,LT129,Oi/Oe,8019.81,378.94,827.28,20.06,75.88,9.13,39.67,2936.7,0.72,-9999.99
Calcium,1994-07-19,1994,SU,BearBrook,U,LT133,Oi/Oe,6140.44,396.22,641.48,3.7,62.98,1.17,25.4,1403.65,0.72,-9999.99
Calcium,1994-07-19,1994,SU,BearBrook,U,LT139,Oi/Oe,11365.31,440.37,613.23,13.41,66.68,5.8,19.54,3134.68,0.76,-9999.99
Calcium,1994-10-14,1994,F,BearBrook,H,LT101,Oa/A,4084.19,24.35,152.88,3.67,2.93,2.28,3.28,1031.67,0.39,-9999.99
Calcium,1994-10-14,1994,F,BearBrook,H,LT105,Oa/A,1122.38,24.73,112.69,4.99,1.97,1.84,2.3,493.99,0.35,-9999.99
Calcium,1994-10-14,1994,F,BearBrook,H,LT109,Oa/A,8563.53,125.88,395.25,16.01,4.57,6.39,7.23,2129.29,0.63,-9999.99
Calcium,1994-10-14,1994,F,BearBrook,H,LT113,Oa/A,1925.08,44.2,152.75,7.17,2.54,2.6,2.62,1126.95,0.43,-9999.99
Calcium,1994-10-14,1994,F,BearBrook,H,LT101,Oi/Oe,24440.03,724.07,551.62,2.53,18.75,3.99,10.24,2445.04,0.68,-9999.99
Calcium,1994-10-14,1994,F,BearBrook,H,LT105,Oi/Oe,20598.84,717.1,763.03,31.36,20.27,10.48,28.42,5601.08,0.73,-9999.99
Calcium,1994-10-14,1994,F,BearBrook,H,LT109,Oi/Oe,27169.87,802.23,699.29,15.88,27.88,7.52,29.36,3121.87,0.72,-9999.99
Calcium,1994-10-14,1994,F,BearBrook,H,LT113,Oi/Oe,10532.2,309.45,519.82,20.41,16.19,6.77,20.57,3720.99,0.64,-9999.99
Calcium,1994-10-14,1994,F,BearBrook,L,LT162,Oa/A,3261.8,65.19,290.93,1.11,6.35,0,3.06,562.64,0.52,-9999.99
Calcium,1994-10-14,1994,F,BearBrook,L,LT165,Oa/A,2415.07,43.86,161.97,1.03,3.16,0.14,1.16,449.65,0.41,-9999.99
Calcium,1994-10-14,1994,F,BearBrook,L,LT169,Oa/A,432.45,13.5,77.71,5.5,2,1.45,1.99,239.89,0.29,-9999.99
Calcium,1994-10-14,1994,F,BearBrook,L,LT173,Oa/A,3256.62,86.98,348.72,1.78,5.11,2.28,5.42,943.27,0.56,-9999.99
Calcium,1994-10-14,1994,F,BearBrook,L,LT162,Oi/Oe,3321.35,201.56,514.66,1.57,16.66,0.08,6.69,687.2,0.65,-9999.99
Calcium,1994-10-14,1994,F,BearBrook,L,LT165,Oi/Oe,6486.91,211.44,527.58,1.36,16.83,0.12,11.67,996.93,0.57,-9999.99
Calcium,1994-10-14,1994,F,BearBrook,L,LT169,Oi/Oe,9684.75,261.86,989.29,39.11,36.33,17.95,38.75,2774.13,0.75,-9999.99
Calcium,1994-10-14,1994,F,BearBrook,L,LT173,Oi/Oe,8875.47,386.06,752.13,1.73,17.98,1.29,18.97,1382,0.74,-9999.99
Calcium,1994-10-14,1994,F,BearBrook,M,LT144,Oa/A,2510.33,22.23,226.04,9.31,5.21,4.08,4.35,382.44,0.38,-9999.99
Calcium,1994-10-14,1994,F,BearBrook,M,LT141,Oa/A,1765.57,23.23,152.4,3.57,4.9,2.81,2.74,206.65,0.37,-9999.99
Calcium,1994-10-14,1994,F,BearBrook,M,LT148,Oa/A,4473.22,42.59,386.5,7.85,5.49,5.59,6.02,601.81,0.5,-9999.99
Calcium,1994-10-14,1994,F,BearBrook,M,LT153,Oa/A,1837.35,32.65,261.05,7.76,4.68,4.11,5.15,1106.26,0.49,-9999.99
Calcium,1994-10-14,1994,F,BearBrook,M,LT144,Oi/Oe,12724.29,424.64,979.17,35.55,61.17,22.94,45.47,2879.81,0.74,-9999.99
Calcium,1994-10-14,1994,F,BearBrook,M,LT141,Oi/Oe,2998.48,113.15,453.15,37.59,15.27,11.68,20.98,1460.15,0.54,-9999.99
Calcium,1994-10-14,1994,F,BearBrook,M,LT148,Oi/Oe,9917.6,225.94,807.27,24.08,34.52,11.58,29.39,1300.2,0.64,-9999.99
Calcium,1994-10-14,1994,F,BearBrook,M,LT153,Oi/Oe,8406.36,203.48,564.12,12.34,13.86,10.33,25.67,2143.38,0.67,-9999.99
Calcium,1994-10-14,1994,F,BearBrook,U,LT121,Oa/A,2899.13,141.1,214.26,4.42,5.04,2.56,3.88,904.47,0.56,-9999.99
Calcium,1994-10-14,1994,F,BearBrook,U,LT124,Oa/A,6832.11,141.8,273.04,0,14.09,6.22,5.39,1021.24,0.62,-9999.99
Calcium,1994-10-14,1994,F,BearBrook,U,LT129,Oa/A,2536.26,46.23,258.11,6.53,6.97,3.71,4.27,632.42,0.56,-9999.99
Calcium,1994-10-14,1994,F,BearBrook,U,LT133,Oa/A,5152.51,45.38,417.01,10.29,16.57,4.68,9.27,1282.24,0.65,-9999.99
Calcium,1994-10-14,1994,F,BearBrook,U,LT121,Oi/Oe,4346.66,722.34,520.8,4.38,19.64,4.65,21.36,1733.52,0.68,-9999.99
Calcium,1994-10-14,1994,F,BearBrook,U,LT124,Oi/Oe,10327.29,665.87,728.44,16.94,45.17,17.32,34.41,2487.39,0.76,-9999.99
Calcium,1994-10-14,1994,F,BearBrook,U,LT129,Oi/Oe,11197.43,70.64,691.78,35.21,26.62,4.43,27.84,1806.66,0.73,-9999.99
Calcium,1994-10-14,1994,F,BearBrook,U,LT133,Oi/Oe,7360.47,374.51,796.58,9.2,25.59,1.38,17.7,1436.17,0.73,-9999.99
Calcium,1995-04-18,1995,SP,BearBrook,H,LT101,Oa/A,863.45,27.95,54.24,1.9,0.92,2.28,2.7,520.58,0.33,-9999.99
Calcium,1995-04-18,1995,SP,BearBrook,H,LT105,Oa/A,805.53,32.35,59.61,3.59,0.77,3.52,4.02,510.39,0.4,-9999.99
Calcium,1995-04-18,1995,SP,BearBrook,H,LT109,Oa/A,2326,43.68,206.71,7.09,0,12.22,14.96,2588.07,0.64,-9999.99
Calcium,1995-04-18,1995,SP,BearBrook,H,LT113,Oa/A,776.16,30.38,53.24,3.06,0.76,3.29,4.49,949.04,0.36,-9999.99
Calcium,1995-04-18,1995,SP,BearBrook,H,LT101,Oi/Oe,5678.25,297.06,425.92,0.36,13.77,10.11,17.92,11622.7,0.71,-9999.99
Calcium,1995-04-18,1995,SP,BearBrook,H,LT105,Oi/Oe,5361.29,391.93,694.76,14.9,18.38,5.34,26.52,15171.32,0.78,-9999.99
Calcium,1995-04-18,1995,SP,BearBrook,H,LT109,Oi/Oe,8307.97,353.49,595.03,6.6,9.95,2.84,43.73,3917.52,0.72,-9999.99
Calcium,1995-04-18,1995,SP,BearBrook,H,LT113,Oi/Oe,5940.64,249.76,384.45,5.91,12.71,2.1,24.26,3453.02,0.66,-9999.99
Calcium,1995-04-18,1995,SP,BearBrook,L,LT162,Oa/A,993.32,61.7,72.21,0,2.65,0.34,1.73,387.47,0.49,-9999.99
Calcium,1995-04-18,1995,SP,BearBrook,L,LT165,Oa/A,578.38,32.13,68.85,0.27,1.59,1.09,2.71,383,0.41,-9999.99
Calcium,1995-04-18,1995,SP,BearBrook,L,LT169,Oa/A,926.53,36.23,51.11,0.91,0,2.36,3.05,618.51,0.52,-9999.99
Calcium,1995-04-18,1995,SP,BearBrook,L,LT173,Oa/A,1091.85,42.26,77,0,0.25,1.72,2.71,779.36,0.45,-9999.99
Calcium,1995-04-18,1995,SP,BearBrook,L,LT162,Oi/Oe,9655.9,378.97,747.24,0,16.87,0.53,19.65,1022.76,0.72,-9999.99
Calcium,1995-04-18,1995,SP,BearBrook,L,LT165,Oi/Oe,6281.1,302.12,857.04,0,14.88,0.11,29.95,-9999.99,0.73,-9999.99
Calcium,1995-04-18,1995,SP,BearBrook,L,LT169,Oi/Oe,7833.21,361.4,1125.89,1.57,28.41,15.06,55.67,2966.59,0.77,-9999.99
Calcium,1995-04-18,1995,SP,BearBrook,L,LT173,Oi/Oe,9749.32,416.68,730.98,0,16.73,5.19,34.3,800.93,0.75,-9999.99
Calcium,1995-04-18,1995,SP,BearBrook,M,LT144,Oa/A,659.45,24.14,83.58,5.2,0.37,3.71,4.37,483.26,0.41,-9999.99
Calcium,1995-04-18,1995,SP,BearBrook,M,LT141,Oa/A,1236.36,28.64,102.59,4.4,0,3.34,3.93,647.13,0.44,-9999.99
Calcium,1995-04-18,1995,SP,BearBrook,M,LT148,Oa/A,841.19,27.89,62.64,8.38,0.09,2.47,3.05,347.18,0.38,-9999.99
Calcium,1995-04-18,1995,SP,BearBrook,M,LT153,Oa/A,1232.73,42.28,63.32,1.27,0.5,1.66,2.27,662.16,0.44,-9999.99
Calcium,1995-04-18,1995,SP,BearBrook,M,LT144,Oi/Oe,7150.87,142.56,565.4,17.6,6.91,27.55,35.05,3556.52,0.7,-9999.99
Calcium,1995-04-18,1995,SP,BearBrook,M,LT141,Oi/Oe,4678.93,23.7,377.77,16,3.98,14.95,20.63,1979.37,0.54,-9999.99
Calcium,1995-04-18,1995,SP,BearBrook,M,LT148,Oi/Oe,6734.86,365.57,749.58,7.95,41.89,13.29,40.27,1850.15,0.66,-9999.99
Calcium,1995-04-18,1995,SP,BearBrook,M,LT153,Oi/Oe,9896.35,438.87,838.81,9.77,24.46,2.7,53.53,2653.93,0.75,-9999.99
Calcium,1995-04-18,1995,SP,BearBrook,U,LT121,Oa/A,2232.41,51.7,147.25,2.71,0,5.94,7.31,3508.77,0.62,-9999.99
Calcium,1995-04-18,1995,SP,BearBrook,U,LT124,Oa/A,802.82,27.59,62.31,2.81,0.18,2.6,3.19,402.55,0.41,-9999.99
Calcium,1995-04-18,1995,SP,BearBrook,U,LT129,Oa/A,2983.84,86.05,210.16,3.44,0,9.9,12.2,1778.49,0.66,-9999.99
Calcium,1995-04-18,1995,SP,BearBrook,U,LT133,Oa/A,841.51,44,80.99,1.08,1.95,1.71,3.68,327.26,0.43,-9999.99
Calcium,1995-04-18,1995,SP,BearBrook,U,LT121,Oi/Oe,10329.36,272.16,705.74,0,15.45,1.56,29,1920.83,0.78,-9999.99
Calcium,1995-04-18,1995,SP,BearBrook,U,LT124,Oi/Oe,5532.18,208.72,362.27,8.4,3.86,3.62,6.04,2917.39,0.73,-9999.99
Calcium,1995-04-18,1995,SP,BearBrook,U,LT129,Oi/Oe,6893.86,382.8,620.5,1.14,22.5,1.65,26.94,4016.16,0.75,-9999.99
Calcium,1995-04-18,1995,SP,BearBrook,U,LT133,Oi/Oe,7213.71,21.11,804.51,1.22,31.84,1.2,28.68,1932.07,0.7,-9999.99
Calcium,1995-07-27,1995,SU,BearBrook,H,LT101,Oa/A,3138.35,49.13,116.71,7.36,5.22,2.38,4.02,1892.98,0.39,-9999.99
Calcium,1995-07-27,1995,SU,BearBrook,H,LT105,Oa/A,3924.23,49.51,132.24,14.58,6.05,3.85,3.98,1907.74,0.52,-9999.99
Calcium,1995-07-27,1995,SU,BearBrook,H,LT109,Oa/A,5574.67,6.19,233.59,10.65,6.06,3.46,3.17,610.73,0.58,-9999.99
Calcium,1995-07-27,1995,SU,BearBrook,H,LT113,Oa/A,2837.91,26.46,93.68,9.3,5.12,3.26,3.91,2427.3,0.42,-9999.99
Calcium,1995-07-27,1995,SU,BearBrook,H,LT101,Oi/Oe,11804.79,233.51,393.08,9.93,28.48,2.35,19.81,3366.22,0.66,-9999.99
Calcium,1995-07-27,1995,SU,BearBrook,H,LT105,Oi/Oe,16205.44,215.11,574.16,40.29,44.87,11.24,32.38,3874.87,0.71,-9999.99
Calcium,1995-07-27,1995,SU,BearBrook,H,LT109,Oi/Oe,13606.31,152.14,447.63,33.13,30.66,8.86,20.02,16163.74,0.65,-9999.99
Calcium,1995-07-27,1995,SU,BearBrook,H,LT113,Oi/Oe,11561.35,47.87,381.95,21.07,27.92,4.85,16.48,5244.8,0.62,-9999.99
Calcium,1995-07-27,1995,SU,BearBrook,L,LT162,Oa/A,2797.33,4.62,119.37,0.16,0,0.09,1.42,2372.89,0.32,-9999.99
Calcium,1995-07-27,1995,SU,BearBrook,L,LT165,Oa/A,3866.37,4.35,170.38,0.22,6.21,0.66,1.96,2389.26,0.48,-9999.99
Calcium,1995-07-27,1995,SU,BearBrook,L,LT169,Oa/A,2035.9,26.01,80.67,6.29,3.45,1.72,2.64,335,0.36,-9999.99
Calcium,1995-07-27,1995,SU,BearBrook,L,LT173,Oa/A,4339.63,43.2,137.42,0.86,0.24,1.96,2.84,344.38,0.49,-9999.99
Calcium,1995-07-27,1995,SU,BearBrook,L,LT162,Oi/Oe,11551.65,13.12,329.58,0.31,30.13,0.45,13.54,280.04,0.62,-9999.99
Calcium,1995-07-27,1995,SU,BearBrook,L,LT165,Oi/Oe,9837.47,254.93,411.64,0.25,22.63,0.06,4.03,-9999.99,0.54,-9999.99
Calcium,1995-07-27,1995,SU,BearBrook,L,LT169,Oi/Oe,11698.35,6.88,543.48,0.24,13.42,13.27,26.99,10819.58,0.67,-9999.99
Calcium,1995-07-27,1995,SU,BearBrook,L,LT173,Oi/Oe,12173.86,49.21,401.44,0.76,12.16,2.29,11.73,34.66,0.67,-9999.99
Calcium,1995-07-27,1995,SU,BearBrook,M,LT144,Oa/A,3885.76,4.6,174.1,10.72,6.96,4.24,4.34,5196.95,0.42,-9999.99
Calcium,1995-07-27,1995,SU,BearBrook,M,LT141,Oa/A,844.88,1.97,65.2,4.77,5.23,1.2,0.92,400.34,0.34,-9999.99
Calcium,1995-07-27,1995,SU,BearBrook,M,LT148,Oa/A,4822.63,2.3,204.45,0,0.72,3.09,3.57,290.82,0.48,-9999.99
Calcium,1995-07-27,1995,SU,BearBrook,M,LT153,Oa/A,3313.33,7.89,162.88,0.14,6.8,5.04,5.77,579.27,0.46,-9999.99
Calcium,1995-07-27,1995,SU,BearBrook,M,LT144,Oi/Oe,15426.04,73.51,652.51,36.47,72.88,11.76,24.68,5819.28,0.68,-9999.99
Calcium,1995-07-27,1995,SU,BearBrook,M,LT141,Oi/Oe,10114.8,209.64,439.92,26.63,14.35,8.24,20.14,16806.83,0.57,-9999.99
Calcium,1995-07-27,1995,SU,BearBrook,M,LT148,Oi/Oe,12455.61,16.85,664.81,0,11.76,11.69,25.07,2650.22,0.64,-9999.99
Calcium,1995-07-27,1995,SU,BearBrook,M,LT153,Oi/Oe,12173.7,10.06,497.78,0.13,29.9,13.73,25.94,4385.72,0.68,-9999.99
Calcium,1995-07-27,1995,SU,BearBrook,U,LT121,Oa/A,4779.26,4.34,162.17,6.31,6.53,4.03,5.63,1341.59,0.51,-9999.99
Calcium,1995-07-27,1995,SU,BearBrook,U,LT124,Oa/A,3012.25,21.59,119.61,9.01,5.18,4.08,3.91,1736.23,0.47,-9999.99
Calcium,1995-07-27,1995,SU,BearBrook,U,LT129,Oa/A,4123.69,2.22,158.72,0,6.93,4.16,4.93,500.99,0.44,-9999.99
Calcium,1995-07-27,1995,SU,BearBrook,U,LT133,Oa/A,6088.5,8.02,284.98,0,12.35,7.15,9.63,1786.69,0.57,-9999.99
Calcium,1995-07-27,1995,SU,BearBrook,U,LT121,Oi/Oe,16098.59,198,436.87,3.04,31.33,3.49,17.09,3793.82,0.72,-9999.99
Calcium,1995-07-27,1995,SU,BearBrook,U,LT124,Oi/Oe,12183.36,241.74,393.71,29.7,16.69,12.66,17.44,2421.05,0.67,-9999.99
Calcium,1995-07-27,1995,SU,BearBrook,U,LT129,Oi/Oe,14056.14,211.97,516.98,1.1,16.63,7.02,22.72,2563.73,0.64,-9999.99
Calcium,1995-07-27,1995,SU,BearBrook,U,LT133,Oi/Oe,13575.55,211.63,523.88,0,53.41,3.18,19.58,892.46,0.62,-9999.99
Calcium,1995-10-19,1995,F,BearBrook,H,LT101,Min,1538.91,6.66,134.88,3.77,2.19,2.37,3.86,379.85,0.39,-9999.99
Calcium,1995-10-19,1995,F,BearBrook,H,LT105,Min,636.28,10.65,52.03,1.69,1.39,0.66,0.75,177.9,0.33,-9999.99
Calcium,1995-10-19,1995,F,BearBrook,H,LT109,Min,1150.73,15.85,122.8,4.11,1.74,0.98,1.04,245.03,0.44,-9999.99
Calcium,1995-10-19,1995,F,BearBrook,H,LT113,Min,1112.93,20.92,75.4,3.4,1.41,1.11,2.41,286.32,0.22,-9999.99
Calcium,1995-10-19,1995,F,BearBrook,H,LT113,Min,935,23.13,92.71,3.12,2,1.68,1.8,168.63,0.4,-9999.99
Calcium,1995-10-19,1995,F,BearBrook,H,LT105,Oa/A,5620.04,108.19,488.19,14.06,12.34,10.11,12.77,4342.74,0.7,-9999.99
Calcium,1995-10-19,1995,F,BearBrook,H,LT109,Oa/A,3675.54,64.83,418.98,20.81,3.97,7.02,7.29,1560.53,0.63,-9999.99
Calcium,1995-10-19,1995,F,BearBrook,H,LT101,Oi/Oe,9314.86,170.68,600.31,0,65.63,1.02,2.24,3296.87,0.66,-9999.99
Calcium,1995-10-19,1995,F,BearBrook,H,LT105,Oi/Oe,11638.27,221.22,805.81,23.22,58.05,24.54,43.61,7905.3,0.78,-9999.99
Calcium,1995-10-19,1995,F,BearBrook,H,LT109,Oi/Oe,11077.61,200.98,759.06,28.08,78.94,12.02,33.5,2212.94,0.69,-9999.99
Calcium,1995-10-19,1995,F,BearBrook,H,LT113,Oi/Oe,9919.96,176.06,665.08,1.82,44.37,1.22,26.43,1924.62,0.68,-9999.99
Calcium,1995-10-19,1995,F,BearBrook,L,LT162,Min,714.73,30.56,91.02,0.23,2.56,0.25,1.26,58.22,0.26,-9999.99
Calcium,1995-10-19,1995,F,BearBrook,L,LT164,Min,1020.16,39.86,96.6,0.46,2.98,0.35,0.6,59.44,0.38,-9999.99
